iter	Passed	Remaining
0	69	69375
1	70	35119
2	71	23696
3	72	17976
4	73	14552
5	74	12279
6	75	10723
7	76	9492
8	77	8534
9	78	7766
10	80	7194
11	81	6680
12	82	6246
13	83	5859
14	85	5610
15	86	5315
16	86	5028
17	87	4774
18	88	4547
19	88	4354
20	92	4314
21	93	4164
22	94	4019
23	95	3901
24	96	3781
25	97	3667
26	101	3671
27	102	3563
28	113	3814
29	115	3719
30	117	3657
31	118	3570
32	119	3492
33	120	3413
34	122	3367
35	124	3336
36	125	3263
37	126	3192
38	126	3125
39	127	3065
40	128	3009
41	129	2953
42	131	2924
43	132	2873
44	134	2854
45	135	2807
46	136	2767
47	138	2738
48	139	2703
49	143	2721
50	152	2830
51	153	2790
52	153	2750
53	154	2711
54	155	2677
55	156	2645
56	170	2813
57	188	3059
58	192	3073
59	196	3083
60	197	3047
61	200	3033
62	202	3008
63	203	2970
64	204	2944
65	227	3222
66	235	3277
67	235	3230
68	237	3204
69	238	3165
70	239	3131
71	240	3094
72	242	3082
73	244	3062
74	245	3028
75	246	2994
76	247	2970
77	248	2935
78	248	2901
79	249	2868
80	249	2835
81	250	2807
82	251	2779
83	252	2748
84	252	2722
85	253	2698
86	254	2669
87	255	2652
88	256	2630
89	257	2606
90	258	2583
91	259	2561
92	260	2543
93	261	2519
94	262	2498
95	262	2474
96	263	2450
97	264	2433
98	265	2412
99	265	2390
100	266	2373
101	266	2349
102	267	2329
103	267	2308
104	268	2288
105	269	2270
106	269	2252
107	270	2233
108	270	2214
109	271	2196
110	271	2177
111	272	2160
112	273	2144
113	273	2127
114	274	2112
115	274	2094
116	275	2078
117	275	2062
118	276	2045
119	276	2029
120	278	2019
121	278	2006
122	279	1990
123	279	1976
124	280	1961
125	281	1950
126	281	1936
127	282	1922
128	283	1913
129	284	1902
130	284	1888
131	285	1875
132	285	1864
133	286	1851
134	286	1838
135	288	1830
136	288	1817
137	289	1806
138	289	1794
139	290	1782
140	290	1770
141	291	1759
